0:0:0,22.5,82
0:0:1,22.5,82
0:0:2,22.5,82
0:0:3,22.5,82
0:0:4,22.5,82
0:0:5,22.5,82
0:0:6,22.5,82
0:0:7,22.5,82
0:0:8,22.6,82
0:0:9,22.6,82
0:0:10,22.6,82
0:0:11,22.6,82
0:0:12,22.6,82
0:0:13,22.6,82
0:0:14,22.6,82
0:0:15,22.6,82
0:0:16,22.6,82
0:0:17,22.6,82
0:0:18,22.7,82
0:0:19,22.7,82
0:0:20,22.7,82
0:0:21,22.7,82
0:0:22,22.7,82
0:0:23,22.7,82
0:0:24,22.8,82
0:0:25,22.8,82
0:0:27,22.8,81
0:0:28,22.8,81
0:0:29,22.8,81
0:0:30,22.8,81
0:0:31,22.8,81
0:0:32,22.8,81
0:0:33,22.8,81
0:0:34,22.8,81
0:0:35,22.8,81
0:0:36,22.8,81
0:0:37,22.8,81
0:0:38,22.8,81
0:0:39,22.8,81
0:0:40,22.8,81
0:0:41,22.9,81
0:0:42,22.9,81
0:0:43,22.9,81
0:0:44,22.9,81
0:0:45,22.9,81
0:0:46,22.9,81
0:0:47,22.9,81
0:0:48,22.9,81
0:0:49,22.9,81
0:0:50,22.9,81
0:0:51,22.9,81
0:0:52,22.9,81
0:0:53,22.9,81
0:0:54,22.9,81
0:0:55,22.9,81
0:0:57,22.9,81
0:0:58,22.9,81
0:0:59,22.9,81
0:1:0,22.9,81
0:1:1,22.9,81
0:1:2,22.9,81
0:1:3,22.9,81
0:1:4,22.9,81
0:1:5,22.9,81
0:1:6,22.9,81
0:1:7,22.9,81
0:1:8,22.9,81
0:1:9,22.9,81
0:1:10,22.9,81
0:1:11,22.9,81
0:1:12,22.9,81
0:1:13,22.9,81
0:1:14,22.9,81
0:1:15,22.9,81
0:1:16,22.9,81
0:1:17,22.9,81
0:1:18,23,81
0:1:19,23,81
0:1:20,22.9,80
0:1:21,22.9,80
0:1:22,22.9,80
0:1:23,22.9,80
0:1:24,22.9,80
0:1:25,22.9,80
0:1:26,22.9,80
0:1:28,22.9,80
0:1:29,22.9,80
0:1:30,22.9,80
0:1:31,23,80
0:1:32,23,80
0:1:33,23,80
0:1:34,23,80
0:1:35,23,80
0:1:36,23,80
0:1:37,23,80
0:1:38,23,80
0:1:39,23,80
0:1:40,23,80
0:1:41,23,80
0:1:42,23,80
0:1:43,23,80
0:1:44,23,80
0:1:45,23,80
0:1:46,23,80
0:1:47,23,80
0:1:48,23,80
0:1:49,23,80
0:1:50,23,80
0:1:51,23,80
0:1:52,23,80
0:1:53,23,80
0:1:54,23,80
0:1:55,23,80
0:1:56,23,80
0:1:58,23,80
0:1:59,23,80
0:2:0,23,80
0:2:1,23,80
0:2:2,23,80
0:2:3,23,80
0:2:4,23,80
0:2:5,23,80
0:2:6,23,80
0:2:7,23,80
0:2:8,23,80
0:2:9,23,80
0:2:10,23,80
0:2:11,23,80
0:2:12,23,80
0:2:13,23,80
0:2:14,23,80
0:2:15,23,80
0:2:16,23,80
0:2:17,23,80
0:2:18,23,80
0:2:19,23,80
0:2:20,23,80
0:2:21,23,80
0:2:22,23,80
0:2:23,23,80
0:2:24,23,80
0:2:25,23,80
0:2:26,23,80
